#,Thermostat,identifier,x
#,Thermostat,name,Main Floor
#,Start,date,2021-12-01
#,End,date,2021-12-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (C),Upstairs2,Basement (C),Basement2
2021-11-30,23:00:00,heat,heatOff,,Sleep,26.5,17.5,18.4,50,1,0,0,0,0,,19.2,50,0,17.7,1,16.1,0,
2021-11-30,23:05:00,heat,heatOff,,Sleep,26.5,17.5,18.4,50,1,0,0,0,0,,19.1,50,0,17.8,1,16.1,0,
2021-11-30,23:10:00,heat,heatOff,,Sleep,26.5,17.5,18.3,51,1,0,0,0,0,,19,51,0,17.8,1,16,0,
2021-11-30,23:15:00,heat,heatOff,,Sleep,26.5,18,18.3,51,1,0,0,0,0,,18.9,51,0,17.8,1,15.9,0,
2021-11-30,23:20:00,heat,heatOff,,Sleep,26.5,18,18.2,51,1,0,0,0,0,,18.9,51,0,17.7,1,15.9,0,
2021-11-30,23:25:00,heat,heatOff,,Sleep,26.5,18,18.1,51,1,0,0,0,0,,18.8,51,0,17.7,0,15.8,0,
2021-11-30,23:30:00,heat,heatOff,,Sleep,26.5,18,17.9,51,1.3,0,0,0,0,,18.8,51,0,17.6,0,15.8,0,
2021-11-30,23:35:00,heat,heatOff,,Sleep,26.5,18,17.7,51,1.3,0,0,15,15,,18.7,51,0,17.6,0,15.7,0,
2021-11-30,23:40:00,heat,heatStage1On,,Sleep,26.5,18,17.6,50,1.3,0,0,300,300,,18.8,50,0,17.6,0,15.7,0,
2021-11-30,23:45:00,heat,heatStage1On,,Sleep,26.5,18,17.6,49,1.3,0,0,300,300,,19.2,49,0,17.6,0,15.7,0,
2021-11-30,23:50:00,heat,heatStage1On,,Sleep,26.5,18,17.7,48,1.3,0,0,300,300,,19.7,48,0,17.6,0,15.7,0,
2021-11-30,23:55:00,heat,heatStage1On,,Sleep,26.5,18,18.1,48,1.3,0,0,30,75,,20,48,0,17.8,0,15.9,0,
2021-12-01,00:00:00,heat,heatOff,,Sleep,26.5,18,18.4,48,1.2,0,0,0,0,,19.9,48,0,17.9,0,16.1,0,
2021-12-01,00:05:00,heat,heatOff,,Sleep,26.5,18,18.4,48,1.2,0,0,0,0,,19.6,48,0,17.9,0,16.2,0,
2021-12-01,00:10:00,heat,heatOff,,Sleep,26.5,18,18.4,49,1.2,0,0,0,0,,19.3,49,0,17.8,0,16.2,0,
2021-12-01,00:15:00,heat,heatOff,,Sleep,26.5,18,18.4,50,1.2,0,0,0,0,,19.2,50,0,17.8,0,16.1,0,
2021-12-01,00:20:00,heat,heatOff,,Sleep,26.5,18,18.3,50,1.2,0,0,0,0,,19.1,50,0,17.7,0,16,0,
2021-12-01,00:25:00,heat,heatOff,,Sleep,26.5,18,18.3,50,1.2,0,0,0,0,,18.9,50,0,17.6,0,15.9,0,
2021-12-01,00:30:00,heat,heatOff,,Sleep,26.5,18,18.2,50,1.2,0,0,0,0,,18.9,50,0,17.6,0,15.9,0,
2021-12-01,00:35:00,heat,heatOff,,Sleep,26.5,18,18.2,50,1.2,0,0,0,0,,18.8,50,0,17.6,0,15.8,0,
2021-12-01,00:40:00,heat,heatOff,,Sleep,26.5,18,18.2,51,1.2,0,0,0,0,,18.8,51,0,17.6,0,15.8,0,
